configuration	Term	J	energy
"1s2"	"1S"	"0"	" 0.00000000"	
"1s.2s"	"3S"	"1"	"[19.81961484203]"	
"1s.2s"	"1S"	"0"	"[20.6157751334]"	
"1s.2p"	"3P*"	"2"	"[20.96408720675]"	
"1s.2p"	"3P*"	"1"	"[20.96409668230]"	
"1s.2p"	"3P*"	"0"	"[20.96421916817]"	
"1s.2p"	"1P*"	"1"	"[21.2180230218]"	
"1s.3s"	"3S"	"1"	"[22.718466742]"	
"1s.3s"	"1S"	"0"	"[22.920317682]"	
"1s.3p"	"3P*"	"2"	"[23.0070734673]"	
"1s.3p"	"3P*"	"1"	"[23.0070761918]"	
"1s.3p"	"3P*"	"0"	"[23.0071097475]"	
"1s.3d"	"3D"	"3"	"[23.07365102990]"	
"1s.3d"	"3D"	"2"	"[23.07365134140]"	
"1s.3d"	"3D"	"1"	"[23.07365682165]"	
"1s.3d"	"1D"	"2"	"[23.07407511941]"	
"1s.3p"	"1P*"	"1"	"[23.0870188528]"	
"1s.4s"	"3S"	"1"	"[23.593959036]"	
"1s.4s"	"1S"	"0"	"[23.6735709133]"	
"1s.4p"	"3P*"	"2"	"[23.7078915511]"	
"1s.4p"	"3P*"	"1"	"[23.7078926664]"	
"1s.4p"	"3P*"	"0"	"[23.7079063452]"	
"1s.4d"	"3D"	"3"	"[23.73609051247]"	
"1s.4d"	"3D"	"2"	"[23.73609066143]"	
"1s.4d"	"3D"	"1"	"[23.73609295768]"	
"1s.4d"	"1D"	"2"	"[23.73633535786]"	
"1s.4f"	"3F*"	"3"	"[23.737007130074]"	
"1s.4f"	"3F*"	"4"	"[23.737008015292]"	
"1s.4f"	"3F*"	"2"	"[23.737009083833]"	
"1s.4f"	"1F*"	"3"	"[23.737010045198]"	
"1s.4p"	"1P*"	"1"	"[23.7420703918]"	
"1s.5s"	"3S"	"1"	"[23.9719717413]"	
"1s.5s"	"1S"	"0"	"[24.0112153129]"	
"1s.5p"	"3P*"	"2"	"[24.0282253870]"	
"1s.5p"	"3P*"	"1"	"[24.0282259477]"	
"1s.5p"	"3P*"	"0"	"[24.0282328220]"	
"1s.5d"	"3D"	"3"	"[24.042662564819]"	
"1s.5d"	"3D"	"2"	"[24.042662644310]"	
"1s.5d"	"3D"	"1"	"[24.042663817021]"	
"1s.5d"	"1D"	"2"	"[24.042803734930]"	
"1s.5f"	"3F*"	"3"	"[24.043154407280]"	
"1s.5f"	"3F*"	"4"	"[24.043154788948]"	
"1s.5f"	"3F*"	"2"	"[24.043155335762]"	
"1s.5f"	"1F*"	"3"	"[24.043155971555]"	
"1s.5g"	"3G"	"4"	"[24.0432159882911]"	
"1s.5g"	"3G"	"5"	"[24.0432163317922]"	
"1s.5g"	"3G"	"3"	"[24.0432166440935]"	
"1s.5g"	"1G"	"4"	"[24.0432168542416]"	
"1s.5p"	"1P*"	"1"	"[24.0458007297]"	
"1s.6s"	"3S"	"1"	"[24.1689985463]"	
"1s.6s"	"1S"	"0"	"[24.1911605982]"	
"1s.6p"	"3P*"	"2"	"[24.2008157776]"	
"1s.6p"	"3P*"	"1"	"[24.2008160981]"	
"1s.6p"	"3P*"	"0"	"[24.2008200312]"	
"1s.6d"	"3D"	"3"	"[24.209163433335]"	
"1s.6d"	"3D"	"2"	"[24.209163480258]"	
"1s.6d"	"3D"	"1"	"[24.209164158016]"	
"1s.6d"	"1D"	"2"	"[24.209250116893]"	
"1s.6f"	"3F*"	"3"	"[24.2094551506479]"	
"1s.6f"	"3F*"	"4"	"[24.2094553495983]"	
"1s.6f"	"3F*"	"2"	"[24.2094556659472]"	
"1s.6f"	"1F*"	"3"	"[24.2094560889011]"	
"1s.6g"	"3G"	"4"	"[24.2094922052525]"	
"1s.6g"	"3G"	"5"	"[24.2094924038571]"	
"1s.6g"	"3G"	"3"	"[24.2094925845692]"	
"1s.6g"	"1G"	"4"	"[24.2094927063924]"	
"1s.6h"	"3H*"	"5"	"[24.20950088025301]"	
"1s.6h"	"3H*"	"6"	"[24.20950100971409]"	
"1s.6h"	"3H*"	"4"	"[24.20950112722159]"	
"1s.6h"	"1H*"	"5"	"[24.20950121490285]"	
"1s.6p"	"1P*"	"1"	"[24.2110030003]"	
"1s.7s"	"3S"	"1"	"[24.2845663599]"	
"1s.7s"	"1S"	"0"	"[24.2982862291]"	
"1s.7p"	"3P*"	"2"	"[24.30428952460]"	
"1s.7p"	"3P*"	"1"	"[24.30428972472]"	
"1s.7p"	"3P*"	"0"	"[24.30429218260]"	
"1s.7d"	"3D"	"3"	"[24.309541220281]"	
"1s.7d"	"3D"	"2"	"[24.309541250161]"	
"1s.7d"	"3D"	"1"	"[24.309541676627]"	
"1s.7d"	"1D"	"2"	"[24.309597704313]"	
"1s.7f"	"3F*"	"3"	"[24.3097276142809]"	
"1s.7f"	"3F*"	"4"	"[24.3097277315102]"	
"1s.7f"	"3F*"	"2"	"[24.3097279306893]"	
"1s.7f"	"1F*"	"3"	"[24.3097282201906]"	
"1s.7g"	"3G"	"4"	"[24.3097514886974]"	
"1s.7g"	"3G"	"5"	"[24.3097516136789]"	
"1s.7g"	"3G"	"3"	"[24.3097517274726]"	
"1s.7g"	"1G"	"4"	"[24.3097518042885]"	
"1s.7h"	"3H*"	"5"	"[24.30975716401156]"	
"1s.7h"	"3H*"	"6"	"[24.30975724553837]"	
"1s.7h"	"3H*"	"4"	"[24.30975731953549]"	
"1s.7h"	"1H*"	"5"	"[24.30975737475284]"	
"1s.7i"	"3I"	"6"	"[24.30975894672121]"	
"1s.7i"	"3I"	"7"	"[24.30975900390359]"	
"1s.7i"	"3I"	"5"	"[24.30975905600832]"	
"1s.7i"	"1I"	"6"	"[24.30975909740429]"	
"1s.7p"	"1P*"	"1"	"[24.31070850185]"	
"1s.8s"	"3S"	"1"	"[24.3581044672]"	
"1s.8s"	"1S"	"0"	"[24.3671804009]"	
"1s.8p"	"3P*"	"2"	"[24.37116620390]"	
"1s.8p"	"3P*"	"1"	"[24.37116633720]"	
"1s.8p"	"3P*"	"0"	"[24.37116797472]"	
"1s.8d"	"3D"	"3"	"[24.374681203098]"	
"1s.8d"	"3D"	"2"	"[24.374681223256]"	
"1s.8d"	"3D"	"1"	"[24.374681508803]"	
"1s.8d"	"1D"	"2"	"[24.374719867558]"	
"1s.8f"	"3F*"	"3"	"[24.3748072401842]"	
"1s.8f"	"3F*"	"4"	"[24.3748073153049]"	
"1s.8f"	"3F*"	"2"	"[24.3748074487220]"	
"1s.8f"	"1F*"	"3"	"[24.3748076533589]"	
"1s.8g"	"3G"	"4"	"[24.3748234692642]"	
"1s.8g"	"3G"	"5"	"[24.3748235529486]"	
"1s.8g"	"3G"	"3"	"[24.3748236291783]"	
"1s.8g"	"1G"	"4"	"[24.37482368068775]"	
